Jour;Date;Heure;Humidite;Temperature;Target_temp;Target_hum
Tuesday ;16/07/2024;10:15:11;46.9;26.8;normal;sec
Tuesday ;16/07/2024;10:15:12;46.2;27.0;normal;sec
Tuesday ;16/07/2024;10:15:13;46.2;27.0;normal;sec
Tuesday ;16/07/2024;10:15:14;46.2;27.0;normal;sec
Tuesday ;16/07/2024;10:15:15;45.7;27.3;normal;sec
Tuesday ;16/07/2024;10:15:16;45.7;27.3;normal;sec
Tuesday ;16/07/2024;10:15:17;45.7;27.3;normal;sec
Tuesday ;16/07/2024;10:15:18;45.1;27.5;normal;sec
Tuesday ;16/07/2024;10:15:19;45.1;27.5;normal;sec
Tuesday ;16/07/2024;10:15:20;45.1;27.5;normal;sec
Tuesday ;16/07/2024;10:15:21;44.5;27.8;normal;sec
Tuesday ;16/07/2024;10:15:22;44.5;27.8;normal;sec
Tuesday ;16/07/2024;10:15:23;44.5;27.8;normal;sec
Tuesday ;16/07/2024;10:15:24;43.7;28.1;normal;sec
Tuesday ;16/07/2024;10:15:25;43.7;28.1;normal;sec
Tuesday ;16/07/2024;10:15:26;43.7;28.1;normal;sec
Tuesday ;16/07/2024;10:15:27;42.8;28.3;normal;sec
Tuesday ;16/07/2024;10:15:28;42.8;28.3;normal;sec
Tuesday ;16/07/2024;10:15:29;42.8;28.3;normal;sec
Tuesday ;16/07/2024;10:15:30;41.7;28.6;normal;sec
Tuesday ;16/07/2024;10:15:31;41.7;28.6;normal;sec
Tuesday ;16/07/2024;10:15:32;41.7;28.6;normal;sec
Tuesday ;16/07/2024;10:15:33;40.8;28.9;normal;sec
Tuesday ;16/07/2024;10:15:34;40.8;28.9;normal;sec
Tuesday ;16/07/2024;10:15:35;40.8;28.9;normal;sec
Tuesday ;16/07/2024;10:15:36;40.0;29.1;haute;sec
Tuesday ;16/07/2024;10:15:37;40.0;29.1;haute;sec
Tuesday ;16/07/2024;10:15:38;40.0;29.1;haute;sec
Tuesday ;16/07/2024;10:15:39;39.1;29.4;haute;sec
Tuesday ;16/07/2024;10:15:40;39.1;29.4;haute;sec
Tuesday ;16/07/2024;10:15:41;39.1;29.4;haute;sec
Tuesday ;16/07/2024;10:15:42;38.6;29.6;haute;sec
Tuesday ;16/07/2024;10:15:43;38.6;29.6;haute;sec
Tuesday ;16/07/2024;10:15:44;38.6;29.6;haute;sec
Tuesday ;16/07/2024;10:15:45;38.5;29.9;haute;sec
Tuesday ;16/07/2024;10:15:46;38.5;29.9;haute;sec
Tuesday ;16/07/2024;10:15:47;38.5;29.9;haute;sec
Tuesday ;16/07/2024;10:15:48;38.4;30.1;haute;sec
Tuesday ;16/07/2024;10:15:49;38.4;30.1;haute;sec
Tuesday ;16/07/2024;10:15:50;38.4;30.1;haute;sec
Tuesday ;16/07/2024;10:15:51;38.1;30.3;haute;sec
Tuesday ;16/07/2024;10:15:52;38.1;30.3;haute;sec
Tuesday ;16/07/2024;10:15:53;38.1;30.3;haute;sec
Tuesday ;16/07/2024;10:15:54;38.0;30.5;haute;sec
Tuesday ;16/07/2024;10:15:55;38.0;30.5;haute;sec
Tuesday ;16/07/2024;10:15:56;38.0;30.5;haute;sec
Tuesday ;16/07/2024;10:15:57;38.0;30.7;haute;sec
Tuesday ;16/07/2024;10:15:58;38.0;30.7;haute;sec
Tuesday ;16/07/2024;10:15:59;38.0;30.7;haute;sec
Tuesday ;16/07/2024;10:16:00;37.7;31.0;haute;sec
Tuesday ;16/07/2024;10:16:01;37.7;31.0;haute;sec
Tuesday ;16/07/2024;10:16:02;37.7;31.0;haute;sec
Tuesday ;16/07/2024;10:16:03;37.3;31.2;haute;sec
Tuesday ;16/07/2024;10:16:04;37.3;31.2;haute;sec
Tuesday ;16/07/2024;10:16:05;37.3;31.2;haute;sec
Tuesday ;16/07/2024;10:16:06;37.0;31.4;haute;sec
Tuesday ;16/07/2024;10:16:07;37.0;31.4;haute;sec
Tuesday ;16/07/2024;10:16:08;37.0;31.4;haute;sec
Tuesday ;16/07/2024;10:16:09;36.6;31.6;haute;sec
Tuesday ;16/07/2024;10:16:10;36.6;31.6;haute;sec
Tuesday ;16/07/2024;10:16:11;36.6;31.6;haute;sec
Tuesday ;16/07/2024;10:16:12;35.8;31.8;haute;sec
Tuesday ;16/07/2024;10:16:13;35.8;31.8;haute;sec
Tuesday ;16/07/2024;10:16:14;35.8;31.8;haute;sec
Tuesday ;16/07/2024;10:16:15;34.8;32.0;haute;sec
Tuesday ;16/07/2024;10:16:16;34.8;32.0;haute;sec
Tuesday ;16/07/2024;10:16:17;34.8;32.0;haute;sec
Tuesday ;16/07/2024;10:16:18;33.8;32.2;haute;sec
Tuesday ;16/07/2024;10:16:19;33.8;32.2;haute;sec
Tuesday ;16/07/2024;10:16:20;33.8;32.2;haute;sec
Tuesday ;16/07/2024;10:16:21;33.0;32.4;haute;sec
Tuesday ;16/07/2024;10:16:22;33.0;32.4;haute;sec
Tuesday ;16/07/2024;10:16:23;33.0;32.4;haute;sec
Tuesday ;16/07/2024;10:16:24;32.5;32.7;haute;sec
Tuesday ;16/07/2024;10:16:25;32.5;32.7;haute;sec
Tuesday ;16/07/2024;10:16:26;32.5;32.7;haute;sec
Tuesday ;16/07/2024;10:16:27;32.1;32.8;haute;sec
Tuesday ;16/07/2024;10:16:28;32.1;32.8;haute;sec
Tuesday ;16/07/2024;10:16:29;32.1;32.8;haute;sec
